24-01-2013 17:30:01,658 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.MessageSchema.messageField: select messagefie0_.WshtMessageSchema_id as WshtMess1_2_1_, messagefie0_.messageField_id as messageF2_1_, messagefie1_.id as id2_0_, messagefie1_.name as name25_0_, messagefie1_.type as type25_0_ from WshtMessageSchema_WshtMessageField messagefie0_ inner join WshtMessageField messagefie1_ on messagefie0_.messageField_id=messagefie1_.id where messagefie0_.WshtMessageSchema_id=?
24-01-2013 17:30:01,677 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.Attachments.attachment: select attachment0_.WshtAttachments_id as WshtAtta1_73_2_, attachment0_.attachment_id as attachment2_2_, attachment1_.id as id72_0_, attachment1_.attachmentInfo_id as attachme2_72_0_, attachment2_.id as id70_1_, attachment2_.accessType as accessType70_1_, attachment2_.attachedBy as attachedBy70_1_, attachment2_.attachedTime as attached4_70_1_, attachment2_.contentCategory as contentC5_70_1_, attachment2_.contentType as contentT6_70_1_, attachment2_.identifier as identifier70_1_, attachment2_.name as name70_1_ from WshtAttachments_WshtAttachment attachment0_ inner join WshtAttachment attachment1_ on attachment0_.attachment_id=attachment1_.id inner join WshtAttachmentInfo attachment2_ on attachment1_.attachmentInfo_id=attachment2_.id where attachment0_.WshtAttachments_id=?
24-01-2013 17:30:01,678 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.base.ExtensibleElementsBase.otherAttributes: select otherattri0_.WshtElement_id as WshtElem1_2_1_, otherattri0_.otherAttributes_id as otherAtt2_1_, (select a13.name from WshtAttribute a13 where a13.id=otherattri0_.otherAttributes_id) as formula1_1_, attributeb1_.id as id4_0_, attributeb1_.localPart as localPart4_0_, attributeb1_.name as name4_0_, attributeb1_.namespaceUri as namespac4_4_0_, attributeb1_.prefix as prefix4_0_, attributeb1_.value as value4_0_ from WshtElement_WshtAttribute otherattri0_ inner join WshtAttribute attributeb1_ on otherattri0_.otherAttributes_id=attributeb1_.id where otherattri0_.WshtElement_id=?
24-01-2013 17:30:01,678 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.ToParts.toPart: select topart0_.WshtToParts_id as WshtToPa1_2_1_, topart0_.toPart_id as toPart2_1_, topart1_.id as id0_0_, topart1_.expressionLanguage as expressi1_45_0_, topart1_.name as name45_0_ from WshtToParts_WshtToPart topart0_ inner join WshtToPart topart1_ on topart0_.toPart_id=topart1_.id where topart0_.WshtToParts_id=?
24-01-2013 17:30:01,678 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.base.ExtensibleMixedContentElementsBase.content: select content0_.ExtensibleMixedContentElementsBase_id as Extensib1_0_0_, content0_.content as content0_ from ExtensibleMixedContentElementsBase_content content0_ where content0_.ExtensibleMixedContentElementsBase_id=?
24-01-2013 17:30:01,678 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.OrganizationalEntity.groupOrg: select grouporg0_.OrganizationalEntity_id as Organiza1_48_0_, grouporg0_.groupOrg as groupOrg0_ from OrganizationalEntity_groupOrg grouporg0_ where grouporg0_.OrganizationalEntity_id=?
24-01-2013 17:30:01,679 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.LogicalPeopleDefinition.groupInfos: select groupinfos0_.LogicalPeopleGroupDefinition_id as LogicalP1_77_1_, groupinfos0_.groupInfos_id as groupInfos2_1_, groupentit1_.id as id76_0_, groupentit1_.groupCode as groupCode76_0_, groupentit1_.groupName as groupName76_0_, groupentit1_.regionName as regionName76_0_ from LogicalPeopleGroupDefinition_GroupEntityInfo groupinfos0_ inner join GroupEntityInfo groupentit1_ on groupinfos0_.groupInfos_id=groupentit1_.id where groupinfos0_.LogicalPeopleGroupDefinition_id=?
24-01-2013 17:30:01,695 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.OneToManyLoader  - Static select for one-to-many wsht.infrastructure.domain.entity.Deadlines.completionDeadline: select completion0_.completionDeadline_id as completi5_2_3_, completion0_.id as id3_, completion0_.id as id2_2_, completion0_._for_id as column2_10_2_, completion0_.name as name10_2_, completion0_.until_id as until3_10_2_, durationex1_.id as id0_0_, durationex1_.expressionLanguage as expressi1_1_0_, deadlineex2_.id as id0_1_, deadlineex2_.expressionLanguage as expressi1_1_1_ from WshtDeadline completion0_ left outer join WshtDurationExpr durationex1_ on completion0_._for_id=durationex1_.id left outer join WshtDeadlineExpr deadlineex2_ on completion0_.until_id=deadlineex2_.id where completion0_.completionDeadline_id=?
24-01-2013 17:30:01,695 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.OneToManyLoader  - Static select for one-to-many wsht.infrastructure.domain.entity.Deadlines.startDeadline: select startdeadl0_.startDeadline_id as startDea4_2_3_, startdeadl0_.id as id3_, startdeadl0_.id as id2_2_, startdeadl0_._for_id as column2_10_2_, startdeadl0_.name as name10_2_, startdeadl0_.until_id as until3_10_2_, durationex1_.id as id0_0_, durationex1_.expressionLanguage as expressi1_1_0_, deadlineex2_.id as id0_1_, deadlineex2_.expressionLanguage as expressi1_1_1_ from WshtDeadline startdeadl0_ left outer join WshtDurationExpr durationex1_ on startdeadl0_._for_id=durationex1_.id left outer join WshtDeadlineExpr deadlineex2_ on startdeadl0_.until_id=deadlineex2_.id where startdeadl0_.startDeadline_id=?
24-01-2013 17:30:01,697 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.OneToManyLoader  - Static select for one-to-many wsht.infrastructure.domain.entity.Composition.subtask: select subtask0_.composition_id as composit2_2_27_, subtask0_.id as id27_, subtask0_.id as id2_26_, subtask0_.composition_id as composit2_59_26_, subtask0_.localTask_id as localTask3_59_26_, subtask0_.name as name59_26_, subtask0_.task_id as task4_59_26_, localtask1_.id as id2_0_, localtask1_.peopleAssignments_id as peopleAs1_56_0_, localtask1_.priority_id as priority2_56_0_, localtask1_.reference_id as reference3_56_0_, peopleassi2_.id as id2_1_, priorityex3_.id as id0_2_, priorityex3_.expressionLanguage as expressi1_1_2_, attributeb4_.id as id4_3_, attributeb4_.localPart as localPart4_3_, attributeb4_.name as name4_3_, attributeb4_.namespaceUri as namespac4_4_3_, attributeb4_.prefix as prefix4_3_, attributeb4_.value as value4_3_, task5_.id as id2_4_, task5_._interface_id as column5_20_4_, task5_.actualOwnerRequired as actualOw1_20_4_, task5_.completionBehavior_id as completi6_20_4_, task5_.composition_id as composit7_20_4_, task5_.deadlines_id as deadlines8_20_4_, task5_.definition as definition20_4_, task5_.delegation_id as delegation9_20_4_, task5_.deleted as deleted20_4_, task5_.messageSchema_id as message10_20_4_, task5_.name as name20_4_, task5_.outcome_id as outcome11_20_4_, task5_.peopleAssignments_id as peopleA12_20_4_, task5_.presentationElements_id as present13_20_4_, task5_.priority_id as priority14_20_4_, task5_.renderings_id as renderings15_20_4_, task5_.searchBy_id as searchBy16_20_4_, taskinterf6_.id as id2_5_, taskinterf6_.operation as operation61_5_, taskinterf6_.portType_id as portType3_61_5_, taskinterf6_.responseOperation as response2_61_5_, taskinterf6_.responsePortType_id as response4_61_5_, attributeb7_.id as id4_6_, attributeb7_.localPart as localPart4_6_, attributeb7_.name as name4_6_, attributeb7_.namespaceUri as namespac4_4_6_, attributeb7_.prefix as prefix4_6_, attributeb7_.value as value4_6_, attributeb8_.id as id4_7_, attributeb8_.localPart as localPart4_7_, attributeb8_.name as name4_7_, attributeb8_.namespaceUri as namespac4_4_7_, attributeb8_.prefix as prefix4_7_, attributeb8_.value as value4_7_, completion9_.id as id2_8_, completion9_.completionAction as completi1_8_8_, completion9_.defaultCompletion_id as defaultC2_8_8_, defaultcom10_.id as id2_9_, defaultcom10_.result_id as result1_13_9_, result11_.id as id2_10_, compositio12_.id as id2_11_, compositio12_.instantiationPattern as instanti1_51_11_, compositio12_.type as type51_11_, deadlines13_.id as id2_12_, delegation14_.id as id2_13_, delegation14_.from_id as from2_14_13_, delegation14_.potentialDelegatees as potentia1_14_13_, from15_.id as id0_14_, from15_.argument_id as argument3_19_14_, from15_.expressionLanguage as expressi1_19_14_, from15_.literal_id as literal4_19_14_, from15_.logicalPeopleGroup as logicalP2_19_14_, argument16_.id as id0_15_, argument16_.expressionLanguage as expressi1_66_15_, argument16_.name as name66_15_, literal17_.id as id67_16_, literal17_.organizationalEntity_id as organiza2_67_16_, organizati18_.id as id48_17_, organizati18_.created as created48_17_, messagesch19_.id as id2_18_, query20_.id as id0_19_, query20_.part as part38_19_, query20_.queryLanguage as queryLan2_38_19_, peopleassi21_.id as id2_20_, presentati22_.id as id2_21_, presentati22_.presentationParameters_id as presenta1_34_21_, presentati23_.id as id2_22_, presentati23_.expressionLanguage as expressi1_36_22_, priorityex24_.id as id0_23_, priorityex24_.expressionLanguage as expressi1_1_23_, renderings25_.id as id2_24_, expression26_.id as id0_25_, expression26_.expressionLanguage as expressi1_1_25_, expression26_.clazz_ as clazz_25_ from WshtSubtask subtask0_ left outer join WshtLocalTask localtask1_ on subtask0_.localTask_id=localtask1_.id left outer join WshtPeopleAssignments peopleassi2_ on localtask1_.peopleAssignments_id=peopleassi2_.id left outer join WshtPriorityExpr priorityex3_ on localtask1_.priority_id=priorityex3_.id left outer join WshtAttribute attributeb4_ on localtask1_.reference_id=attributeb4_.id left outer join WshtTask task5_ on subtask0_.task_id=task5_.id left outer join WshtTaskInterface taskinterf6_ on task5_._interface_id=taskinterf6_.id left outer join WshtAttribute attributeb7_ on taskinterf6_.portType_id=attributeb7_.id left outer join WshtAttribute attributeb8_ on taskinterf6_.responsePortType_id=attributeb8_.id left outer join WshtCompletionBehavior completion9_ on task5_.completionBehavior_id=completion9_.id left outer join WshtDefaultCompletion defaultcom10_ on completion9_.defaultCompletion_id=defaultcom10_.id left outer join WshtResult result11_ on defaultcom10_.result_id=result11_.id left outer join WshtComposition compositio12_ on task5_.composition_id=compositio12_.id left outer join Wshtdeadlines deadlines13_ on task5_.deadlines_id=deadlines13_.id left outer join WshtDelegation delegation14_ on task5_.delegation_id=delegation14_.id left outer join WshtFrom from15_ on delegation14_.from_id=from15_.id left outer join WshtArgument argument16_ on from15_.argument_id=argument16_.id left outer join WshtLiteral literal17_ on from15_.literal_id=literal17_.id left outer join WshtOrganizationalEntity organizati18_ on literal17_.organizationalEntity_id=organizati18_.id left outer join WshtMessageSchema messagesch19_ on task5_.messageSchema_id=messagesch19_.id left outer join WshtQuery query20_ on task5_.outcome_id=query20_.id left outer join WshtPeopleAssignments peopleassi21_ on task5_.peopleAssignments_id=peopleassi21_.id left outer join WshtPresentationElements presentati22_ on task5_.presentationElements_id=presentati22_.id left outer join WshtPresentationParameters presentati23_ on presentati22_.presentationParameters_id=presentati23_.id left outer join WshtPriorityExpr priorityex24_ on task5_.priority_id=priorityex24_.id left outer join WshtRenderings renderings25_ on task5_.renderings_id=renderings25_.id left outer join ( select id, expressionLanguage, 2 as clazz_ from WshtBooleanExpr union all select id, expressionLanguage, 3 as clazz_ from WshtDeadlineExpr union all select id, expressionLanguage, 5 as clazz_ from WshtDurationExpr union all select id, expressionLanguage, 10 as clazz_ from WshtPriorityExpr ) expression26_ on task5_.searchBy_id=expression26_.id where subtask0_.composition_id=?
24-01-2013 17:30:01,697 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.MessageField.messageDisplay: select messagedis0_.WshtMessageField_id as WshtMess1_2_1_, messagedis0_.messageDisplay_id as messageD2_1_, messagedis1_.id as id0_0_, messagedis1_.lang as lang24_0_ from WshtMessageField_WshtMessageDisplay messagedis0_ inner join WshtMessageDisplay messagedis1_ on messagedis0_.messageDisplay_id=messagedis1_.id where messagedis0_.WshtMessageField_id=?
24-01-2013 17:30:01,698 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.Notifications.notification: select notificati0_.WshtNotifications_id as WshtNoti1_2_8_, notificati0_.notification_id as notifica2_8_, notificati1_.id as id2_0_, notificati1_._interface_id as column2_27_0_, notificati1_.name as name27_0_, notificati1_.peopleAssignments_id as peopleAs3_27_0_, notificati1_.presentationElements_id as presenta4_27_0_, notificati1_.priority_id as priority5_27_0_, notificati1_.renderings_id as renderings6_27_0_, notificati2_.id as id2_1_, notificati2_.operation as operation28_1_, notificati2_.portType_id as portType2_28_1_, attributeb3_.id as id4_2_, attributeb3_.localPart as localPart4_2_, attributeb3_.name as name4_2_, attributeb3_.namespaceUri as namespac4_4_2_, attributeb3_.prefix as prefix4_2_, attributeb3_.value as value4_2_, peopleassi4_.id as id2_3_, presentati5_.id as id2_4_, presentati5_.presentationParameters_id as presenta1_34_4_, presentati6_.id as id2_5_, presentati6_.expressionLanguage as expressi1_36_5_, priorityex7_.id as id0_6_, priorityex7_.expressionLanguage as expressi1_1_6_, renderings8_.id as id2_7_ from WshtNotifications_WshtNotification notificati0_ inner join WshtNotification notificati1_ on notificati0_.notification_id=notificati1_.id inner join WshtNotificationInterface notificati2_ on notificati1_._interface_id=notificati2_.id left outer join WshtAttribute attributeb3_ on notificati2_.portType_id=attributeb3_.id inner join WshtPeopleAssignments peopleassi4_ on notificati1_.peopleAssignments_id=peopleassi4_.id inner join WshtPresentationElements presentati5_ on notificati1_.presentationElements_id=presentati5_.id left outer join WshtPresentationParameters presentati6_ on presentati5_.presentationParameters_id=presentati6_.id left outer join WshtPriorityExpr priorityex7_ on notificati1_.priority_id=priorityex7_.id left outer join WshtRenderings renderings8_ on notificati1_.renderings_id=renderings8_.id where notificati0_.WshtNotifications_id=?
24-01-2013 17:30:01,698 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.PresentationParameters.presentationParameter: select presentati0_.WshtPresentationParameters_id as WshtPres1_2_2_, presentati0_.presentationParameter_id as presenta2_2_, presentati1_.id as id0_0_, presentati1_.name as name30_0_, presentati1_.type_id as type2_30_0_, attributeb2_.id as id4_1_, attributeb2_.localPart as localPart4_1_, attributeb2_.name as name4_1_, attributeb2_.namespaceUri as namespac4_4_1_, attributeb2_.prefix as prefix4_1_, attributeb2_.value as value4_1_ from WshtPresentationParameters_WshtPresentationParameter presentati0_ inner join WshtPresentationParameter presentati1_ on presentati0_.presentationParameter_id=presentati1_.id left outer join WshtAttribute attributeb2_ on presentati1_.type_id=attributeb2_.id where presentati0_.WshtPresentationParameters_id=?
24-01-2013 17:30:01,699 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.Comments.comment: select comment0_.WshtComments_id as WshtComm1_69_1_, comment0_.comment_id as comment2_1_, comment1_.id as id68_0_, comment1_.addedBy as addedBy68_0_, comment1_.addedTime as addedTime68_0_, comment1_.lastModifiedBy as lastModi4_68_0_, comment1_.lastModifiedTime as lastModi5_68_0_, comment1_.text as text68_0_ from WshtComments_WshtComment comment0_ inner join WshtComment comment1_ on comment0_.comment_id=comment1_.id where comment0_.WshtComments_id=?
24-01-2013 17:30:01,699 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.TaskInfo.businessAdministrators: select businessad0_.taskinfo_id as taskinfo2_47_1_, businessad0_.user_id as user1_1_, userentity1_.id as id75_0_, userentity1_.active as active75_0_, userentity1_.clientSide as clientSide75_0_, userentity1_.email as email75_0_, userentity1_.name as name75_0_, userentity1_.parentSide as parentSide75_0_, userentity1_.password as password75_0_, userentity1_.userName as userName75_0_ from wsht_businessadministrator_taskInfos businessad0_ inner join UserEntityInfo userentity1_ on businessad0_.user_id=userentity1_.id where businessad0_.taskinfo_id=?
24-01-2013 17:30:01,699 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.LogicalPeopleGroups.logicalPeopleGroup: select logicalpeo0_.WshtLogicalPeopleGroups_id as WshtLogi1_2_1_, logicalpeo0_.logicalPeopleGroup_id as logicalP2_1_, logicalpeo1_.id as id2_0_, logicalpeo1_.name as name57_0_, logicalpeo1_.reference as reference57_0_ from WshtLogicalPeopleGroups_WshtLogicalPeopleGroup logicalpeo0_ inner join WshtLogicalPeopleGroup logicalpeo1_ on logicalpeo0_.logicalPeopleGroup_id=logicalpeo1_.id where logicalpeo0_.WshtLogicalPeopleGroups_id=?
24-01-2013 17:30:01,699 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.OneToManyLoader  - Static select for one-to-many wsht.infrastructure.domain.entity.PresentationElements.subject: select subject0_.subject_id as subject2_2_1_, subject0_.id as id1_, subject0_.id as id0_0_, subject0_.lang as lang44_0_ from WshtText subject0_ where subject0_.subject_id=?
24-01-2013 17:30:01,699 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.OneToManyLoader  - Static select for one-to-many wsht.infrastructure.domain.entity.TaskInfo.currentOwnerStack: select currentown0_.taskInfo_id as taskInfo6_47_2_, currentown0_.id as id2_, currentown0_.id as id74_1_, currentown0_.active as active74_1_, currentown0_.createdDate as createdD3_74_1_, currentown0_.language as language74_1_, currentown0_.name as name74_1_, currentown0_.taskInfo_id as taskInfo6_74_1_, currentown0_.userEntityInfo_id as userEnti7_74_1_, userentity1_.id as id75_0_, userentity1_.active as active75_0_, userentity1_.clientSide as clientSide75_0_, userentity1_.email as email75_0_, userentity1_.name as name75_0_, userentity1_.parentSide as parentSide75_0_, userentity1_.password as password75_0_, userentity1_.userName as userName75_0_ from UserSession currentown0_ left outer join UserEntityInfo userentity1_ on currentown0_.userEntityInfo_id=userentity1_.id where currentown0_.taskInfo_id=?
24-01-2013 17:30:01,701 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.UserEntityInfo.businessAdministratorTaskInfos: select businessad0_.user_id as user1_75_28_, businessad0_.taskinfo_id as taskinfo2_28_, taskinfo1_.id as id47_0_, taskinfo1_.activated as activated47_0_, taskinfo1_.attachments_id as attachm12_47_0_, taskinfo1_.comments_id as comments13_47_0_, taskinfo1_.created as created47_0_, taskinfo1_.escalated as escalated47_0_, taskinfo1_.expired as expired47_0_, taskinfo1_.fault_id as fault14_47_0_, taskinfo1_.isLeanTask as isLeanTask47_0_, taskinfo1_.isSubtask as isSubtask47_0_, taskinfo1_.modified as modified47_0_, taskinfo1_.owner_id as owner15_47_0_, taskinfo1_.priority as priority47_0_, taskinfo1_.state as state47_0_, taskinfo1_.task_id as task16_47_0_, taskinfo1_.taskIdentifier as taskIde11_47_0_, taskinfo1_.taskParent_id as taskParent17_47_0_, attachment2_.id as id73_1_, attachment2_.returnAttachments as returnAt2_73_1_, comments3_.id as id69_2_, fault4_.id as id49_3_, fault4_.faultData as faultData49_3_, fault4_.faultName as faultName49_3_, fault4_.identifier as identifier49_3_, userentity5_.id as id75_4_, userentity5_.active as active75_4_, userentity5_.clientSide as clientSide75_4_, userentity5_.email as email75_4_, userentity5_.name as name75_4_, userentity5_.parentSide as parentSide75_4_, userentity5_.password as password75_4_, userentity5_.userName as userName75_4_, taskbase6_.id as id2_5_, taskbase6_._interface_id as column5_20_5_, taskbase6_.actualOwnerRequired as actualOw1_20_5_, taskbase6_.completionBehavior_id as completi6_20_5_, taskbase6_.composition_id as composit7_20_5_, taskbase6_.deadlines_id as deadlines8_20_5_, taskbase6_.definition as definition20_5_, taskbase6_.delegation_id as delegation9_20_5_, taskbase6_.deleted as deleted20_5_, taskbase6_.messageSchema_id as message10_20_5_, taskbase6_.name as name20_5_, taskbase6_.outcome_id as outcome11_20_5_, taskbase6_.peopleAssignments_id as peopleA12_20_5_, taskbase6_.presentationElements_id as present13_20_5_, taskbase6_.priority_id as priority14_20_5_, taskbase6_.renderings_id as renderings15_20_5_, taskbase6_.searchBy_id as searchBy16_20_5_, taskbase6_.clazz_ as clazz_5_, taskinterf7_.id as id2_6_, taskinterf7_.operation as operation61_6_, taskinterf7_.portType_id as portType3_61_6_, taskinterf7_.responseOperation as response2_61_6_, taskinterf7_.responsePortType_id as response4_61_6_, attributeb8_.id as id4_7_, attributeb8_.localPart as localPart4_7_, attributeb8_.name as name4_7_, attributeb8_.namespaceUri as namespac4_4_7_, attributeb8_.prefix as prefix4_7_, attributeb8_.value as value4_7_, attributeb9_.id as id4_8_, attributeb9_.localPart as localPart4_8_, attributeb9_.name as name4_8_, attributeb9_.namespaceUri as namespac4_4_8_, attributeb9_.prefix as prefix4_8_, attributeb9_.value as value4_8_, completion10_.id as id2_9_, completion10_.completionAction as completi1_8_9_, completion10_.defaultCompletion_id as defaultC2_8_9_, defaultcom11_.id as id2_10_, defaultcom11_.result_id as result1_13_10_, result12_.id as id2_11_, compositio13_.id as id2_12_, compositio13_.instantiationPattern as instanti1_51_12_, compositio13_.type as type51_12_, deadlines14_.id as id2_13_, delegation15_.id as id2_14_, delegation15_.from_id as from2_14_14_, delegation15_.potentialDelegatees as potentia1_14_14_, from16_.id as id0_15_, from16_.argument_id as argument3_19_15_, from16_.expressionLanguage as expressi1_19_15_, from16_.literal_id as literal4_19_15_, from16_.logicalPeopleGroup as logicalP2_19_15_, argument17_.id as id0_16_, argument17_.expressionLanguage as expressi1_66_16_, argument17_.name as name66_16_, literal18_.id as id67_17_, literal18_.organizationalEntity_id as organiza2_67_17_, organizati19_.id as id48_18_, organizati19_.created as created48_18_, messagesch20_.id as id2_19_, query21_.id as id0_20_, query21_.part as part38_20_, query21_.queryLanguage as queryLan2_38_20_, peopleassi22_.id as id2_21_, presentati23_.id as id2_22_, presentati23_.presentationParameters_id as presenta1_34_22_, presentati24_.id as id2_23_, presentati24_.expressionLanguage as expressi1_36_23_, priorityex25_.id as id0_24_, priorityex25_.expressionLanguage as expressi1_1_24_, renderings26_.id as id2_25_, expression27_.id as id0_26_, expression27_.expressionLanguage as expressi1_1_26_, expression27_.clazz_ as clazz_26_, taskinfo28_.id as id47_27_, taskinfo28_.activated as activated47_27_, taskinfo28_.attachments_id as attachm12_47_27_, taskinfo28_.comments_id as comments13_47_27_, taskinfo28_.created as created47_27_, taskinfo28_.escalated as escalated47_27_, taskinfo28_.expired as expired47_27_, taskinfo28_.fault_id as fault14_47_27_, taskinfo28_.isLeanTask as isLeanTask47_27_, taskinfo28_.isSubtask as isSubtask47_27_, taskinfo28_.modified as modified47_27_, taskinfo28_.owner_id as owner15_47_27_, taskinfo28_.priority as priority47_27_, taskinfo28_.state as state47_27_, taskinfo28_.task_id as task16_47_27_, taskinfo28_.taskIdentifier as taskIde11_47_27_, taskinfo28_.taskParent_id as taskParent17_47_27_ from wsht_businessadministrator_taskInfos businessad0_ inner join TaskInfo taskinfo1_ on businessad0_.taskinfo_id=taskinfo1_.id left outer join WshtAttachments attachment2_ on taskinfo1_.attachments_id=attachment2_.id left outer join WshtComments comments3_ on taskinfo1_.comments_id=comments3_.id left outer join WshtFault fault4_ on taskinfo1_.fault_id=fault4_.id left outer join UserEntityInfo userentity5_ on taskinfo1_.owner_id=userentity5_.id inner join ( select id, actualOwnerRequired, definition, deleted, name, _interface_id, completionBehavior_id, composition_id, deadlines_id, delegation_id, messageSchema_id, outcome_id, peopleAssignments_id, presentationElements_id, priority_id, renderings_id, searchBy_id, 12 as clazz_ from WshtLeanTask union all select id, actualOwnerRequired, definition, deleted, name, _interface_id, completionBehavior_id, composition_id, deadlines_id, delegation_id, messageSchema_id, outcome_id, peopleAssignments_id, presentationElements_id, priority_id, renderings_id, searchBy_id, 41 as clazz_ from WshtTask ) taskbase6_ on taskinfo1_.task_id=taskbase6_.id left outer join WshtTaskInterface taskinterf7_ on taskbase6_._interface_id=taskinterf7_.id left outer join WshtAttribute attributeb8_ on taskinterf7_.portType_id=attributeb8_.id left outer join WshtAttribute attributeb9_ on taskinterf7_.responsePortType_id=attributeb9_.id left outer join WshtCompletionBehavior completion10_ on taskbase6_.completionBehavior_id=completion10_.id left outer join WshtDefaultCompletion defaultcom11_ on completion10_.defaultCompletion_id=defaultcom11_.id left outer join WshtResult result12_ on defaultcom11_.result_id=result12_.id left outer join WshtComposition compositio13_ on taskbase6_.composition_id=compositio13_.id left outer join Wshtdeadlines deadlines14_ on taskbase6_.deadlines_id=deadlines14_.id left outer join WshtDelegation delegation15_ on taskbase6_.delegation_id=delegation15_.id left outer join WshtFrom from16_ on delegation15_.from_id=from16_.id left outer join WshtArgument argument17_ on from16_.argument_id=argument17_.id left outer join WshtLiteral literal18_ on from16_.literal_id=literal18_.id left outer join WshtOrganizationalEntity organizati19_ on literal18_.organizationalEntity_id=organizati19_.id left outer join WshtMessageSchema messagesch20_ on taskbase6_.messageSchema_id=messagesch20_.id left outer join WshtQuery query21_ on taskbase6_.outcome_id=query21_.id left outer join WshtPeopleAssignments peopleassi22_ on taskbase6_.peopleAssignments_id=peopleassi22_.id left outer join WshtPresentationElements presentati23_ on taskbase6_.presentationElements_id=presentati23_.id left outer join WshtPresentationParameters presentati24_ on presentati23_.presentationParameters_id=presentati24_.id left outer join WshtPriorityExpr priorityex25_ on taskbase6_.priority_id=priorityex25_.id left outer join WshtRenderings renderings26_ on taskbase6_.renderings_id=renderings26_.id left outer join ( select id, expressionLanguage, 2 as clazz_ from WshtBooleanExpr union all select id, expressionLanguage, 3 as clazz_ from WshtDeadlineExpr union all select id, expressionLanguage, 5 as clazz_ from WshtDurationExpr union all select id, expressionLanguage, 10 as clazz_ from WshtPriorityExpr ) expression27_ on taskbase6_.searchBy_id=expression27_.id left outer join TaskInfo taskinfo28_ on taskinfo1_.taskParent_id=taskinfo28_.id where businessad0_.user_id=?
